palName,figName,group,jsName,levels
kovesi.rainbow_bgyrm_35_85_c71,kovesi.rainbow_bgyrm_35_85_c71,Kovesi,rainbow_bgyrm_35_85_c71,7
kovesi.linear_bgy_10_95_c74,kovesi.linear_bgy_10_95_c74,Kovesi,linear_bgy_10_95_c74,7
kovesi.linear_bgyw_15_100_c67,kovesi.linear_bgyw_15_100_c67,Kovesi,linear_bgyw_15_100_c67,7
kovesi.linear_bgyw_15_100_c68,kovesi.linear_bgyw_15_100_c68,Kovesi,linear_bgyw_15_100_c68,7
kovesi.linear_blue_5_95_c73,kovesi.linear_blue_5_95_c73,Kovesi,linear_blue_5_95_c73,7
kovesi.linear_blue_95_50_c20,kovesi.linear_blue_95_50_c20,Kovesi,linear_blue_95_50_c20,7
kovesi.linear_bmw_5_95_c86,kovesi.linear_bmw_5_95_c86,Kovesi,linear_bmw_5_95_c86,7
kovesi.linear_bmw_5_95_c89,kovesi.linear_bmw_5_95_c89,Kovesi,linear_bmw_5_95_c89,7
kovesi.linear_bmy_10_95_c71,kovesi.linear_bmy_10_95_c71,Kovesi,linear_bmy_10_95_c71,7
kovesi.linear_bmy_10_95_c78,kovesi.linear_bmy_10_95_c78,Kovesi,linear_bmy_10_95_c78,7
kovesi.linear_gow_60_85_c27,kovesi.linear_gow_60_85_c27,Kovesi,linear_gow_60_85_c27,7
kovesi.linear_gow_65_90_c35,kovesi.linear_gow_65_90_c35,Kovesi,linear_gow_65_90_c35,7
kovesi.linear_green_5_95_c69,kovesi.linear_green_5_95_c69,Kovesi,linear_green_5_95_c69,7
kovesi.linear_grey_0_100_c0,kovesi.linear_grey_0_100_c0,Kovesi,linear_grey_0_100_c0,7
kovesi.linear_grey_10_95_c0,kovesi.linear_grey_10_95_c0,Kovesi,linear_grey_10_95_c0,7
kovesi.linear_kry_5_95_c72,kovesi.linear_kry_5_95_c72,Kovesi,linear_kry_5_95_c72,7
kovesi.linear_kry_5_98_c75,kovesi.linear_kry_5_98_c75,Kovesi,linear_kry_5_98_c75,7
kovesi.linear_kryw_5_100_c64,kovesi.linear_kryw_5_100_c64,Kovesi,linear_kryw_5_100_c64,7
kovesi.linear_kryw_5_100_c67,kovesi.linear_kryw_5_100_c67,Kovesi,linear_kryw_5_100_c67,7
kovesi.linear_ternary_blue_0_44_c57,kovesi.linear_ternary_blue_0_44_c57,Kovesi,linear_ternary_blue_0_44_c57,7
kovesi.linear_ternary_green_0_46_c42,kovesi.linear_ternary_green_0_46_c42,Kovesi,linear_ternary_green_0_46_c42,7
kovesi.linear_ternary_red_0_50_c52,kovesi.linear_ternary_red_0_50_c52,Kovesi,linear_ternary_red_0_50_c52,7







